date,r
2009-03-31,0.08539730134932544
2009-04-30,0.100779048566219
2009-05-31,0.04949053857350805
2009-06-30,0.001004352192835567
2009-07-31,0.0760630673674152
2009-08-31,0.03383358493917066
2009-09-30,0.03783714138464189
2009-10-31,-0.023298158493689214
2009-11-30,0.054741123633590405
2009-12-31,0.02349963846710046
2010-01-31,-0.03657914360846182
2010-02-28,0.030798060862834653
2010-03-31,0.06030905426234057
2010-04-30,0.018524730701852343
2010-05-31,-0.08091195198711842
2010-06-30,-0.05562412900656977
2010-07-31,0.06851336537650732
2010-08-31,-0.048770863749358795
2010-09-30,0.09043016551209204
2010-10-31,0.03678624415110132
2010-11-30,0.0016144419167829493
2010-12-31,0.06560920213935084
2011-01-31,0.02155453951665587
2011-02-28,0.03348364517431679
